date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:25	59738/59738	---M--	200	added ('OK')	text/html	date:Mon,%2006%20May%202019%2009:40:24%20GMT	http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/index14ad.html	(from )
10:40:25	5184/5184	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:24%20GMT	http://dev.web-cruit.com/robots.txt		(from )
10:40:25	1279/1279	---M--	200	added ('OK')	image/gif	etag:%22f9aedec7993fd41:0%22	http://dev.web-cruit.com/cfscripts/scripts/ajax/resources/cf/images/loading.gif	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/cfscripts/scripts/ajax/resources/cf/images/loading.gif	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:26	31750/31750	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209dc7b9993fd41:0%22	http://dev.web-cruit.com/cfscripts/scripts/ajax/messages/cfmessage.js	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/cfscripts/scripts/ajax/messages/cfmessage.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:26	37358/37358	---M-Z	200	added ('OK')	application/x-javascript	etag:%220b915c8993fd41:0%22	http://dev.web-cruit.com/cfscripts/scripts/ajax/package/cfajax.js	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/cfscripts/scripts/ajax/package/cfajax.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:26	142633/142633	---M-Z	200	added ('OK')	text/css	etag:%2280a76a49a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/bootstrap.min.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/bootstrap.min4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:27	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%2280d437a59a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/font-awesome/font-awesome-4.6.3/css/font-awesome.min.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/font-awesome/font-awesome-4.6.3/css/font-awesome.min4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:27	31344/31344	---M-Z	200	added ('OK')	text/css	etag:%2280c6109e9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:29	59738/59738	---M--	200	added ('OK')	text/html	date:Mon,%2006%20May%202019%2009:40:27%20GMT	http://dev.web-cruit.com/tagmanager/index.cfm?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/index4eb2.html	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:29	8520/8520	---M-Z	200	added ('OK')	text/css	etag:%2280d27547a5bfd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/wc.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/wc4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:29	1230/1230	---M--	200	added ('OK')	text/css	etag:%229860cba69a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/wc-responsive-table.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/wc-responsive-table4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:29	7149/7149	---M-Z	200	added ('OK')	text/css	etag:%2280d27547a5bfd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/bootstrap-table.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/bootstrap-table4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:30	97163/97163	---M-Z	200	added ('OK')	application/x-javascript	etag:%22030789d9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery/1.12.4/jquery.min.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery/1.12.4/jquery.min4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:32	253385/253385	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280c6109e9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery-ui/1.12.0/jquery-ui.min.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.12.0/jquery-ui.min4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:33	37045/37045	---M-Z	200	added ('OK')	application/x-javascript	etag:%220116ea39a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/bootstrap-3.3.7-dist/js/bootstrap.min.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/bootstrap-3.3.7-dist/js/bootstrap.min4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:33	6384/6384	---M-Z	200	added ('OK')	application/x-javascript	etag:%22802073a09a3fd41:0%22	http://dev.web-cruit.com/images/js/web-cruit-bootstrap-pagination/web-cruit-bootstrap-pagination.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/web-cruit-bootstrap-pagination/web-cruit-bootstrap-pagination4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:33	4489/4489	---M-Z	200	added ('OK')	application/x-javascript	etag:%22804da4a19a3fd41:0%22	http://dev.web-cruit.com/images/js/web-cruit-bootstrap-modal/web-cruit-bootstrap-modal.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/web-cruit-bootstrap-modal/web-cruit-bootstrap-modal4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:33	466/466	---M--	200	added ('OK')	application/x-javascript	etag:%2262551e9e9a3fd41:0%22	http://dev.web-cruit.com/images/js/javascriptExtensions/wc-ext.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/javascriptExtensions/wc-ext4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:33	556/556	---M--	200	added ('OK')	application/x-javascript	etag:%22566169e9a3fd41:0%22	http://dev.web-cruit.com/images/js/fw1Helpers/fw1Helpers.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/fw1Helpers/fw1Helpers4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:34	109630/109630	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280d27547a5bfd41:0%22	http://dev.web-cruit.com/images/js/bootstrap-table.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/bootstrap-table4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:34	400/400	---M--	200	added ('OK')	application/x-javascript	etag:%2258e2c956993fd41:0%22	http://dev.web-cruit.com/scripts/Javascript/cfAjaxProxyHelperFunctions.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/scripts/Javascript/cfAjaxProxyHelperFunctions4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:34	1178/1178	---M--	200	added ('OK')	application/x-javascript	etag:%225a1ad755993fd41:0%22	http://dev.web-cruit.com/scripts/Javascript/web-cruit-timer/web-cruit-timer.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/scripts/Javascript/web-cruit-timer/web-cruit-timer4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:34	2722/2722	---M--	200	added ('OK')	image/gif	etag:%227dd78db09a3fd41:0%22	http://dev.web-cruit.com/images/kaonixlogo2.gif	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/kaonixlogo2.gif	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:35	178/178	---M--	200	added ('OK')	image/png	etag:%2239bd4a9e9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:35	5320/5320	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:34%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.18.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:35	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/CV/tagmanager/tag%20manager/www.google-analytics.com/analytics.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:40:37	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:35%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.19.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:37	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.1a.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:37	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.1b.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:37	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.1c.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
10:40:38	5302/5302	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2009:40:37%20GMT	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.1d.delayed	(from http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942)
